       46.10  46.00  42.20   44.40  46.00   49.00  53.30   66.70  72.90    67.60     45.00
       45.10  49.70  46.50   46.50  49.30   58.80  58.70   64.70  64.00    63.40     42.00
       48.00  52.90  49.60   50.10  48.40   50.00  58.50   62.90  60.10    60.10     39.00
       49.20  54.50  51.30   56.10  53.90   53.20  53.40   58.80  62.40    59.40     55.00
       47.00  49.40  46.80   49.70  50.30   55.50  59.80   67.10  64.21    70.40     42.00
       48.20  54.10  51.20   53.50  54.80   55.70  55.20   65.70  62.30    62.30     39.00
       46.50  50.80  48.00   51.40  50.00   58.60  61.60   61.50  61.90    75.40     37.00
       47.30  51.20  49.50   52.60  57.90   58.60  66.40   70.60  56.40    55.60     33.00
       48.20  53.90  50.90   54.00  52.40   59.30  77.50   60.60  55.80    61.40     37.00
       43.30  45.20  42.70   44.90  47.30   52.90  69.30   92.20  57.30    79.10     34.00
       52.00  53.00  50.00   51.60  55.40   56.30  56.70   68.40  66.90    65.40     35.00
       49.20  54.50  50.80   53.60  53.40   56.00  62.30   65.80  66.10    65.60     37.00
       49.30  52.80  51.10   53.80  52.40   59.30  63.20   73.70  62.30    62.30     24.00
       47.20  51.30  49.50   52.60  51.60   60.10  64.40   66.50  66.60    76.90     28.00
       49.20  48.80  49.20   54.20  60.80   60.40  64.00   69.90  66.10    65.10     35.00
       45.20  50.20  48.70   53.60  53.50   60.30  59.20   71.40  75.90    71.80     39.00
       45.30  51.00  46.90   50.00  51.00   59.70  78.20   68.90  69.70    72.80     50.00
       49.20  48.30  46.20   51.60  51.90   61.10  71.80   74.60  70.30    69.90     47.00
       49.20  48.70  48.80   52.60  57.90   65.30  71.70   64.10  70.70    68.20     52.00
       46.00  49.20  47.50   51.50  54.10   61.40  66.50   76.50  77.00    68.60     22.00
       46.50  51.10  49.90   56.10  53.60   58.20  66.30   76.20  70.60    76.30     47.00
       51.60  54.00  52.10   55.10  57.40   61.00  63.40   70.20  73.40    67.90     49.00
       47.20  50.00  48.10   50.80  55.30   62.60  70.50   76.10  72.70    72.80     40.00
       45.00  50.30  48.80   53.60  54.40   58.90  67.60   77.70  79.90    81.10     44.00
       48.00  52.90  49.60   50.10  53.50   65.60  72.80   74.10  72.60    78.10     57.00
       53.20  55.10  55.00   59.30  59.40   63.20  66.10   66.70  73.70    68.30     36.00
       62.50  67.50  73.10   68.20  47.10   51.90  58.30   68.50  64.40    62.10     45.00
       49.20  48.80  53.40   56.10  59.80   65.20  72.80   71.40  79.80    70.50     40.00
       49.20  48.60  47.50   51.80  57.70   63.50  63.50   69.50  92.60    83.40     46.00
       51.60  53.70  49.20   58.30  56.40   65.30  74.80   75.40  75.80    69.20     38.00
       58.70  62.70  56.30   58.60  66.30   62.90  67.40   71.40  69.60    60.80     49.00
       49.20  53.30  53.70   54.80  59.30   73.90  70.80   86.30  61.80    78.70     39.00
       59.00  64.60  61.40   64.00  60.20   64.00  66.20   69.50  69.30    64.90     38.00
       50.10  53.90  52.70   59.80  58.20   71.40  72.30   78.40  77.50    74.90     44.00
       55.00  58.50  59.40   63.40  57.00   66.40  67.70   68.70  75.90    77.70     43.00
       47.20  52.10  51.70   61.00  73.20   74.50  69.20   76.50  75.60    70.90     62.00
       51.70  54.00  53.00   55.60  56.00   62.90  76.20   81.20  85.50    87.80     31.00
       50.00  47.30  44.10   51.70  62.80   75.30  78.10   81.20  85.50    87.80     36.00
       56.20  59.70  55.60   58.20  64.40   76.10  68.40   75.30  84.30    70.50     28.00
       56.20  59.70  55.60   58.20  64.40   76.10  68.40   75.30  84.80    70.50     46.00
       46.50  51.70  52.30   61.70  66.80   68.10  76.90   74.90  83.70    96.10     34.00
       56.20  60.00  60.40   67.70  64.70   73.10  68.70   72.10  70.30    86.90     62.00
       49.20  53.00  52.50   55.50  57.10   77.70  86.60   71.20  82.50   104.60     39.00
       51.60  54.20  58.70   59.80  65.40   76.20  73.10   93.00  83.70    74.30     43.00
       58.10  62.00  60.20   63.70  65.70   78.80  69.40   81.70  79.20    81.90     46.00
       48.20  54.00  52.50   55.50  60.10   73.90  71.80   86.80  91.90   110.00     20.00
       55.00  60.90  55.00   63.50  68.80   84.60  64.80   95.00  81.80    75.40     49.00
       56.20  60.40  63.10   65.00  71.70   78.80  77.00   89.00  83.50    61.00     35.00
       48.00  52.90  52.80   70.50  77.10   85.30  76.90   93.90  88.40    68.20     42.00
       46.50  51.00  63.60   66.70  75.00   81.00  76.00   95.40  80.90    79.30     20.00
       46.50  51.00  63.60   66.70  75.00   81.00  76.00   95.40  80.90    79.30     30.00
       52.20  55.50  55.90   70.60  77.70   86.60  71.60   86.90  87.80    71.20     27.00
       50.50  55.40  64.10   66.30  75.60   86.60  71.60   87.30  89.20    73.40     34.00




